Game Name,Price,Discount,Reviews,Tags,Release Date,Publisher
"Warhammer 40,000: Darktide",$9.99,-75%,Mostly Positive,"Co-op, PvE, FPS, Class-Based, Combat, Action RPG, Violent, Gore, Atmospheric, Horror, Realistic, Character Customization, Co-op Campaign, Crafting, Zombies, First-Person, Dark, Shooter, Action, RPG","Nov 30, 2022",Fatshark
Dota 2,Free To Play,0%,Mixed,"Free to Play, MOBA, Multiplayer, Strategy, eSports, Team-Based, Competitive, Action, Online Co-Op, PvP, Difficult, Co-op, RTS, RPG, Tower Defense, Fantasy, Character Customization, Replay Value, Action RPG, Simulation","Jul 9, 2013",Valve
Wuthering Waves,Free To Play,0%,Very Positive,"Open World, Anime, Free to Play, Action, Story Rich, Adventure, RPG, Combat, Exploration, 3D, Souls-like, Third Person, Singleplayer, Post-apocalyptic, Co-op, Multiplayer, Great Soundtrack, Gambling, Hack and Slash, Hentai","Apr 28, 2025",KURO GAMES
Grim Dawn,$56.91,0%,Very Positive,"Action RPG, Hack and Slash, Loot, Isometric, Dark Fantasy, RPG, Dungeon Crawler, Co-op, Singleplayer, Character Customization, Dark, Multiplayer, Fantasy, Adventure, Action, Atmospheric, Post-apocalyptic, Crafting, Moddable, Choices Matter","Feb 25, 2016",Crate Entertainment
War Thunder,Free To Play,0%,Mixed,"Free to Play, Vehicular Combat, Simulation, Action, Combat, Flight, World War II, VR, War, Military, Tanks, Multiplayer, Naval Combat, Massively Multiplayer, Modern, Cold War, Shooter, Realistic, Third Person, Third-Person Shooter","Aug 15, 2013",Gaijin Network Ltd
Shift At Midnight,$8.99,-10%,Overwhelmingly Positive,"Horror, Online Co-Op, Multiplayer, Retro, 3D, First-Person, Co-op, Simulation, Survival Horror, Comedy, Mystery, Investigation, Detective, 1990's, Interactive Fiction, Atmospheric, Singleplayer, Choices Matter, Stealth, Psychological Horror","Jul 22, 2026",Kwalee
Avatar Legends: The Fighting Game,$29.99,0%,Mostly Positive,"2D Fighter, Hand-drawn, Multiplayer, Singleplayer, Anime, Cartoon, Action, Combat, Fantasy, Martial Arts, 2D, Fighting, PvP, Arcade, Colorful, Comedy, Lore-Rich, Controller, Story Rich, Stylized","Jul 23, 2026","PM Studios, Inc., Paramount Games"
ELDEN RING,$59.99,0%,Very Positive,"Souls-like, Open World, Dark Fantasy, RPG, Difficult, Action RPG, Multiplayer, Third Person, Fantasy, Singleplayer, Online Co-Op, Action, Co-op, Atmospheric, Great Soundtrack, PvP, Violent, 3D, Character Customization, Family Friendly","Feb 24, 2022","FromSoftware, Inc., Bandai Namco Entertainment"
"Warhammer 40,000: Space Marine 2",$17.99,-70%,Very Positive,"Co-op, Action, Multiplayer, Third-Person Shooter, PvE, Adventure, Action-Adventure, Third Person, Sci-fi, Wargame, Singleplayer, War, Space, 3D, Fantasy, Futuristic, Cinematic, Realistic, Gore, PvP","Sep 9, 2024",Focus Entertainment
DragonSword : Awakening,$44.98,0%,Very Positive,"Action, RPG, Adventure, Open World, Anime, Action RPG, JRPG, Action-Adventure, 3D, Dragons, Third Person, Fantasy, Multiplayer, Online Co-Op, Lore-Rich, PvE, Combat, Story Rich, Hack and Slash, Singleplayer","Jul 22, 2026",Hound13 Inc.
Path of Exile 2,$29.99,0%,Mostly Positive,"Action RPG, Hack and Slash, RPG, Loot, MMORPG, Isometric, Souls-like, Dark Fantasy, Action, Dungeon Crawler, Multiplayer, Adventure, Online Co-Op, Character Customization, Inventory Management, Early Access, Crafting, Dark, Horror, Singleplayer","Dec 6, 2024",Grinding Gear Games
Tears of Metal,$22.49,-10%,Very Positive,"Early Access, Hack and Slash, Action Roguelike, Musou, Medieval, Co-op, Difficult, Third Person, Dark Fantasy, Fighting, Multiplayer, Replay Value, Singleplayer, Action, Roguelike, Beat 'em up, Stylized, War, Online Co-Op, Roguelite","Jul 22, 2026",Paper Cult
Team Fortress 2,Free To Play,0%,Very Positive,"Free to Play, Hero Shooter, Multiplayer, FPS, Shooter, Action, Class-Based, Team-Based, Funny, First-Person, Online Co-Op, Competitive, Cartoony, Trading, Co-op, Comedy, Robots, Tactical, Cartoon, Crafting","Oct 10, 2007",Valve
